Column2,Column1,Answer_ID,QID,Answer_Arabic,Mark1,Mark1_ceil,Mark2,Mark2_ceil,Average_Mark,Median,mark_floor,mark_ceil,Question_ID,Question_Type,Question_Arabic,Model_Arabic
20,1168,21,3.1,"تحميل و إضافة و تغيير و حذف البيانات من النظام دون علم صاحب الجهاز، التحكم في النظام، التجسس على المعلومات الخاصة و ذلك بسرقة كلمات السر بواسطة برامج تجسس لوحة المفاتيح .",3.5,4,4.5,5,4,4,4,4,1,3,ماهي النتائج المترتبة عن  إصابة  النظام المعلوماتي بحصان طروادة ؟  ,"يتحكم الهاكر في الجهاز المخترق عبر باب خلفي يمكنه من : سرقة المعلومات كسرقة البريد الالكتروني، أو سرقة الهوية، تحميل ملفات من وإلى هذا الجهاز دون علم صاحبه، تركيب برمجيات تجسس على الجهاز."
21,1169,22,3.1,"يستطيع المخترقون الإتصال بالجهاز عبر باب خلفي و منه: التحكم في الجهاز، سرقة المعلومات، تحميل الملفات، تركيب برمجيات التجسس .",5,5,5,5,5,5,5,5,1,3,ماهي النتائج المترتبة عن  إصابة  النظام المعلوماتي بحصان طروادة ؟  ,"يتحكم الهاكر في الجهاز المخترق عبر باب خلفي يمكنه من : سرقة المعلومات كسرقة البريد الالكتروني، أو سرقة الهوية، تحميل ملفات من وإلى هذا الجهاز دون علم صاحبه، تركيب برمجيات تجسس على الجهاز."
48,1196,49,3.1,"يمكن للمخترق الوصول للجهاز عبر باب خلفي و التحكم بالجهاز، سرقة الهوية و البريد الالكتروني، سرقة المعلومات، تحميل ملفات بدون علم صاحبه، تثبيت برامج و أجهزة لتسجيل نقرات لوحة مفاتيح و املائها أوتوماتيكيا للمخترق مما يمكنه من سرقة معلومات خاصة بكلمات السر. ",5,5,5,5,5,5,5,5,1,3,ماهي النتائج المترتبة عن  إصابة  النظام المعلوماتي بحصان طروادة ؟  ,"يتحكم الهاكر في الجهاز المخترق عبر باب خلفي يمكنه من : سرقة المعلومات كسرقة البريد الالكتروني، أو سرقة الهوية، تحميل ملفات من وإلى هذا الجهاز دون علم صاحبه، تركيب برمجيات تجسس على الجهاز."
50,1198,2,3.2,"عدم اللجوء الى حفظ كلمات السر وتجنب نسيانها ، تحصين أمن المعلومات، التقليل من نسبة الاختراق.",3.5,4,3.5,4,3.5,4,3,4,2,3,ما هي النتائج المترتبة على استعمال تقنيات القياس الحيوي في الدخول إلى النظام المعلوماتي؟,"الأمن والخصوصية، البديل لحمل الوثائق الثبوتية ، البديل لحفظ وتذكر الأرقام السرية، تأمين سرية العمليات المالية."
54,1202,6,3.2,"الأمن والخصوصية: منع دخول غير المصرح لبيانات المستخدم، بديل لحمل وثائق اثبات الهوية: رخصة القيادة …، بديل لحفظ كلمات السر ، السرية في العمليات المالية: الصراف الآلي مثلا.",5,5,5,5,5,5,5,5,2,3,ما هي النتائج المترتبة على استعمال تقنيات القياس الحيوي في الدخول إلى النظام المعلوماتي؟,"الأمن والخصوصية، البديل لحمل الوثائق الثبوتية ، البديل لحفظ وتذكر الأرقام السرية، تأمين سرية العمليات المالية."
58,1206,10,3.2,"الحماية التقنية للمعلومات ، التاكد و معرفة الاشخاص الذين غيرو المعلومات ، سرية و امن المبادلات المالية.",2.5,3,1,1,1.75,2,1,2,2,3,ما هي النتائج المترتبة على استعمال تقنيات القياس الحيوي في الدخول إلى النظام المعلوماتي؟,"الأمن والخصوصية، البديل لحمل الوثائق الثبوتية ، البديل لحفظ وتذكر الأرقام السرية، تأمين سرية العمليات المالية."
71,1219,23,3.2,"عدم اللجوء الى حفظ كلمات السر وتجنب نسيانها، زيادة امن تحديد الهوية، حماية المعلومات الشخصية",4.5,5,4,4,4.25,4,4,5,2,3,ما هي النتائج المترتبة على استعمال تقنيات القياس الحيوي في الدخول إلى النظام المعلوماتي؟,"الأمن والخصوصية، البديل لحمل الوثائق الثبوتية ، البديل لحفظ وتذكر الأرقام السرية، تأمين سرية العمليات المالية."
87,1235,39,3.2,"مراقبة دخول و خروج العاملين، منع الاشخاص غير المرغوب بهم من الوصول الى النظام",1,1,0.5,1,0.75,1,0,1,2,3,ما هي النتائج المترتبة على استعمال تقنيات القياس الحيوي في الدخول إلى النظام المعلوماتي؟,"الأمن والخصوصية، البديل لحمل الوثائق الثبوتية ، البديل لحفظ وتذكر الأرقام السرية، تأمين سرية العمليات المالية."
99,1247,3,3.3,"توفير الحماية للنظام المعلوماتي للأشخاص والمؤسسات، الحد من الجريمة الالكترونية، نشر ثقافة أمن المعلومات، تقليل خوف المستخدمين وتشجيعهم على عدم التكلم على القضايا الاختراق الحاصلة لهم.",2,2,2.5,3,2.25,2,2,3,3,3,ما النتائج المترتبة عن تطبيق سياسة أمن المعلومات في النظام المعلوماتي ؟,التوفير و السرية و التكامل للمعلومات
102,1250,6,3.3,"هي الحد من الجريمة الإلكترونية نظريات واستراتيجيات الوسائل والأدوات الدراسات لحماية المعلومات ، مراحل التخزين النقل المعالجة.",0,0,1,1,0.5,0,0,1,3,3,ما النتائج المترتبة عن تطبيق سياسة أمن المعلومات في النظام المعلوماتي ؟,التوفير و السرية و التكامل للمعلومات
106,1254,10,3.3,"حماية لأجهزة من لأخطار والحد من الجريمة، تفادي عدة أشكال من الاختراق، تجنب سرقة المعلومات والتخريب، عدم التعرض للتخويف والتهريب من طرف مخترقون.",1,1,2,2,1.5,1,1,2,3,3,ما النتائج المترتبة عن تطبيق سياسة أمن المعلومات في النظام المعلوماتي ؟,التوفير و السرية و التكامل للمعلومات
121,1269,25,3.3,"حماية أمن الأنظمة الضخمة من الاختراقات و الهجومات و ذلك يتمثل في حماية كافة الموارد المستخدمة في معالجة البيانات من اشخاص و حواسب و وسائل مستعملة في معالجة المعلومات في جميع المراحل(التخزين, النقل و المعالجة)",0.5,1,1,1,0.75,1,0,1,3,3,ما النتائج المترتبة عن تطبيق سياسة أمن المعلومات في النظام المعلوماتي ؟,التوفير و السرية و التكامل للمعلومات
130,1278,34,3.3,"التقليل و إزاحة بعض الجرائم الإلكترونية، تطور السياني تكنولوجيا في بيئة آمنة، ظهور نشأة تكنولوجية مثل تجارة و حكومة.",0.5,1,1,1,0.75,1,0,1,3,3,ما النتائج المترتبة عن تطبيق سياسة أمن المعلومات في النظام المعلوماتي ؟,التوفير و السرية و التكامل للمعلومات
149,1297,11,3.4,"تحسين النظام، معرفة الثغرات الأمنية، تصحيح الثغرات الأمنية، منع استغلال الثغرات من قبل الكراكر .",5,5,4,4,4.5,4,4,5,4,3,ما النتائج المترتبة على تطبيق اختبار الاختراق من طرف الهاكر؟,"تقارير إلى المنظمة بكيفية اختراق النظام مما يسمح للمنظمة بتحسين دفاعاتها ورفع مستوى الأمن ، ثغرات أمنية تسمح للمطور بتصحيح منتجه وتحسين أمانه قبل اختراقه ."
151,1299,13,3.4,هو اختبار تسمح له المؤسسة للهاكر باختراق جهاز الأمن من أجل اختبار أمن النظام فيترتب كسر نظام الأمن للمؤسسة ,0,0,2.5,3,1.25,1,1,2,4,3,ما النتائج المترتبة على تطبيق اختبار الاختراق من طرف الهاكر؟,"تقارير إلى المنظمة بكيفية اختراق النظام مما يسمح للمنظمة بتحسين دفاعاتها ورفع مستوى الأمن ، ثغرات أمنية تسمح للمطور بتصحيح منتجه وتحسين أمانه قبل اختراقه ."
160,1308,22,3.4,أغراض جيدة و أخلاقية و و قانونية .,0,0,0,0,0,0,0,0,4,3,ما النتائج المترتبة على تطبيق اختبار الاختراق من طرف الهاكر؟,"تقارير إلى المنظمة بكيفية اختراق النظام مما يسمح للمنظمة بتحسين دفاعاتها ورفع مستوى الأمن ، ثغرات أمنية تسمح للمطور بتصحيح منتجه وتحسين أمانه قبل اختراقه ."
169,1317,31,3.4,القبض على ثغرات موجودة في النظام او البرامج و بالتالي يقدمه للمؤسس او المبرمج لكي يصلح الثغرات,3.5,4,3,3,3.25,3,3,4,4,3,ما النتائج المترتبة على تطبيق اختبار الاختراق من طرف الهاكر؟,"تقارير إلى المنظمة بكيفية اختراق النظام مما يسمح للمنظمة بتحسين دفاعاتها ورفع مستوى الأمن ، ثغرات أمنية تسمح للمطور بتصحيح منتجه وتحسين أمانه قبل اختراقه ."
