Column2,Column1,Answer_ID,QID,Answer_Arabic,Mark1,Mark1_ceil,Mark2,Mark2_ceil,Average_Mark,Median,mark_floor,mark_ceil,Question_ID,Question_Type,Question_Arabic,Model_Arabic
1,298,2,2.1,"الفيروسات، الدود، أحصنة طروادة .",3.75,4,3.75,4,3.75,4,3,4,1,2,ما هي الأصناف الرئيسية للبرمجيات الماكرة,"   الفيروسات ، والدود ، وأحصنة طروادة، وبرامج الإنزال"
13,310,2,2.2,"التشهير، السب والشتم، نشر صور سيئة، الابتزاز، الاستغلال، القذف",5,5,5,5,5,5,5,5,2,2,"  ماهي أشكال المضايقات التي يمكن أن يتعرض لها مستخدم وسائل التواصل الاجتماعي(فايسبوك، ...) ؟","المعاكسات، السب والقذف، التشهير، تخويف أو تهديد، نشر صور غير لائقة"
20,317,9,2.2,"المعاكسات، نشر صور غير لائقة ، السب و القذف، التشهير.",4,4,5,5,4.5,4,4,5,2,2,"  ماهي أشكال المضايقات التي يمكن أن يتعرض لها مستخدم وسائل التواصل الاجتماعي(فايسبوك، ...) ؟","المعاكسات، السب والقذف، التشهير، تخويف أو تهديد، نشر صور غير لائقة"
21,318,10,2.2,"التخويف عبر الرسائل، نشر الصور عبر مختلف المواقع، التهديدات.",2.5,3,3,3,2.75,3,2,3,2,2,"  ماهي أشكال المضايقات التي يمكن أن يتعرض لها مستخدم وسائل التواصل الاجتماعي(فايسبوك، ...) ؟","المعاكسات، السب والقذف، التشهير، تخويف أو تهديد، نشر صور غير لائقة"
34,331,23,2.2,"السب والشتم ، التشهير، نشر صور غير لائقة",3,3,4,4,3.5,3,3,4,2,2,"  ماهي أشكال المضايقات التي يمكن أن يتعرض لها مستخدم وسائل التواصل الاجتماعي(فايسبوك، ...) ؟","المعاكسات، السب والقذف، التشهير، تخويف أو تهديد، نشر صور غير لائقة"
58,355,47,2.2,التشهير السب الشتم و المضايقة القذف  نشر صوره الشخصية,5,5,4,4,4.5,4,4,5,2,2,"  ماهي أشكال المضايقات التي يمكن أن يتعرض لها مستخدم وسائل التواصل الاجتماعي(فايسبوك، ...) ؟","المعاكسات، السب والقذف، التشهير، تخويف أو تهديد، نشر صور غير لائقة"
71,368,12,2.3,"جريمة التجسس وإنتهاك الخصوصية، تصنيفها: جريمة تقع بواسطة الأنترنت.",1.5,2,2.5,3,2,2,2,2,3,2,ما نوع الجريمة الإلكترونية التي قد تكون أنت  ضحيتها عبر بريد إلكتروني يخبرك بأن شخصا يريد أن يتقاسم معك جوائز أو أموالا؟,جرائم النصب والاحتيال تصنف في المجموعة الأولى التي تقع على الانترنت أي أن الشبكة تكون محلا لها
80,377,21,2.3,جرائم الاختراق و التي تسمى جريمة الاغراق بالرسائل الالكترونية و يتم تصنيفها في الجرائم التي تقع على الأنترنت ,0.5,1,0.5,1,0.5,1,0,1,3,2,ما نوع الجريمة الإلكترونية التي قد تكون أنت  ضحيتها عبر بريد إلكتروني يخبرك بأن شخصا يريد أن يتقاسم معك جوائز أو أموالا؟,جرائم النصب والاحتيال تصنف في المجموعة الأولى التي تقع على الانترنت أي أن الشبكة تكون محلا لها
87,384,28,2.3,"هي جريمة الهندسة النفسية ,و تصنف مع جرائم النصب و الاحتيال",3,3,2.5,3,2.75,3,2,3,3,2,ما نوع الجريمة الإلكترونية التي قد تكون أنت  ضحيتها عبر بريد إلكتروني يخبرك بأن شخصا يريد أن يتقاسم معك جوائز أو أموالا؟,جرائم النصب والاحتيال تصنف في المجموعة الأولى التي تقع على الانترنت أي أن الشبكة تكون محلا لها
91,388,32,2.3,جريمة استعمال انترنت  ,0.5,1,1,1,0.75,1,0,1,3,2,ما نوع الجريمة الإلكترونية التي قد تكون أنت  ضحيتها عبر بريد إلكتروني يخبرك بأن شخصا يريد أن يتقاسم معك جوائز أو أموالا؟,جرائم النصب والاحتيال تصنف في المجموعة الأولى التي تقع على الانترنت أي أن الشبكة تكون محلا لها
99,396,3,2.4,"ثقافة الأمن المعلوماتي، التوعية و التشريع القانوني",3,3,3.5,4,3.25,3,3,4,4,2,ماهي الأسس التي يجب إتباعها للحد من انتشار الجريمة الإلكترونية؟,"ثقافة أمن المعلومات، التشريع القانوني، التربية وثقافة الوعي واستعمال وسائل الحماية الفنية، الإدارية والمادية "
102,399,6,2.4,"ثقافة أمن المعلومات، التشريع القانوني، التربية و ثقافة الوعي .",3.75,4,4,4,3.875,4,3,4,4,2,ماهي الأسس التي يجب إتباعها للحد من انتشار الجريمة الإلكترونية؟,"ثقافة أمن المعلومات، التشريع القانوني، التربية وثقافة الوعي واستعمال وسائل الحماية الفنية، الإدارية والمادية "
105,402,9,2.4,"وسائل حماية مادية ، وسائل حماية فنية، وسائل حماية إدارية ،توعية و تثقيف الموظفين بأمن المعلومات .",2.5,3,0,0,1.25,1,1,2,4,2,ماهي الأسس التي يجب إتباعها للحد من انتشار الجريمة الإلكترونية؟,"ثقافة أمن المعلومات، التشريع القانوني، التربية وثقافة الوعي واستعمال وسائل الحماية الفنية، الإدارية والمادية "
106,403,10,2.4,"ثقافة أمن المعلومات ، التربية، التوعية، التشريع القانوني ووضع قوانين صارمة للحد من الجريمة الالكترونية.",3.75,4,4,4,3.875,4,3,4,4,2,ماهي الأسس التي يجب إتباعها للحد من انتشار الجريمة الإلكترونية؟,"ثقافة أمن المعلومات، التشريع القانوني، التربية وثقافة الوعي واستعمال وسائل الحماية الفنية، الإدارية والمادية "
121,418,25,2.4,"وسائل فنية وسائل مادية: تجهيزات شبكة نظام المعلومات، توعية مسؤولية النظام.",1.25,2,2,2,1.625,2,1,2,4,2,ماهي الأسس التي يجب إتباعها للحد من انتشار الجريمة الإلكترونية؟,"ثقافة أمن المعلومات، التشريع القانوني، التربية وثقافة الوعي واستعمال وسائل الحماية الفنية، الإدارية والمادية "
130,427,34,2.4,"توفير أمن تقني ،مادي وإداري .",1.25,2,1,1,1.125,1,1,2,4,2,ماهي الأسس التي يجب إتباعها للحد من انتشار الجريمة الإلكترونية؟,"ثقافة أمن المعلومات، التشريع القانوني، التربية وثقافة الوعي واستعمال وسائل الحماية الفنية، الإدارية والمادية "
160,457,1,2.6,تقاس بقوة اضعف حلقة فيها و هي الجانب البشري,5,5,5,5,5,5,5,5,6,2,بماذا تقاس قوة سلسلة الأمن للنظام المعلوماتي ؟,تقاس بقوة أضعف حلقة فيها وهي الإنسان (العنصر البشري) .
161,458,2,2.6,"تقاس بأضعف سلسلة أو حلقه فيه ""الاِنسان عادة"" ",4.5,5,5,5,4.75,5,4,5,6,2,بماذا تقاس قوة سلسلة الأمن للنظام المعلوماتي ؟,تقاس بقوة أضعف حلقة فيها وهي الإنسان (العنصر البشري) .
166,463,7,2.6,تقاس قوة سلسلة الأمن بأضعف قوة يمكن ان تحصل,1.5,2,0.5,1,1,1,1,1,6,2,بماذا تقاس قوة سلسلة الأمن للنظام المعلوماتي ؟,تقاس بقوة أضعف حلقة فيها وهي الإنسان (العنصر البشري) .
189,486,30,2.6,بأضعف جزء فيها ,0.5,1,1.5,2,1,1,1,1,6,2,بماذا تقاس قوة سلسلة الأمن للنظام المعلوماتي ؟,تقاس بقوة أضعف حلقة فيها وهي الإنسان (العنصر البشري) .
191,488,1,2.7,"مستوى ذكاء عالي ، كفاءات تقنية.",3.5,4,2,2,2.75,3,2,3,7,2,ما هي الخصائص التي يتمتع بها  قراصنة الأنظمة؟,"ذكاء و قدرة عاليتين على كتابة وتصميم البرامج، وفهم عميق لكيفية عمل الحاسب الآلي والقدرة على اختراق أنظمة الأمان وتكسيرها"
205,502,15,2.7,"الذكاء، معرفة كيفية عمل نظام الكمبيوتر و أجزائه، العمل في الخفاء، عدم ترك آثار الجريمة .",2.5,3,2,2,2.25,2,2,3,7,2,ما هي الخصائص التي يتمتع بها  قراصنة الأنظمة؟,"ذكاء و قدرة عاليتين على كتابة وتصميم البرامج، وفهم عميق لكيفية عمل الحاسب الآلي والقدرة على اختراق أنظمة الأمان وتكسيرها"
214,511,24,2.7,"الذكاء، المهارة، المعرفة العالية بالبرمجيات .",2.5,3,3,3,2.75,3,2,3,7,2,ما هي الخصائص التي يتمتع بها  قراصنة الأنظمة؟,"ذكاء و قدرة عاليتين على كتابة وتصميم البرامج، وفهم عميق لكيفية عمل الحاسب الآلي والقدرة على اختراق أنظمة الأمان وتكسيرها"
241,538,51,2.7,"الفهم العميق لكيفية عمل الحاسب الالي، قدرة و موهبة عاليتين على تصميم البرامج كتابتها، قمة الذكاء والقدرة على التضليل والخداع. ",3.5,4,5,5,4.25,4,4,5,7,2,ما هي الخصائص التي يتمتع بها  قراصنة الأنظمة؟,"ذكاء و قدرة عاليتين على كتابة وتصميم البرامج، وفهم عميق لكيفية عمل الحاسب الآلي والقدرة على اختراق أنظمة الأمان وتكسيرها"
243,540,53,2.7,"قدراتهم العالية و تمكنهم العالي في بتطوير الأنظمة، و كذا معرفتهم الدقيقة بمكونات الحاسوب، و إمكانياتهم العالية في إختراق الأنظمة الإلكترونية.",5,5,5,5,5,5,5,5,7,2,ما هي الخصائص التي يتمتع بها  قراصنة الأنظمة؟,"ذكاء و قدرة عاليتين على كتابة وتصميم البرامج، وفهم عميق لكيفية عمل الحاسب الآلي والقدرة على اختراق أنظمة الأمان وتكسيرها"
252,549,4,2.8,"التوكل على الغير، امكانية الاختراق بدون استعمال طرق تقنية.",1,1,1,1,1,1,1,1,8,2,ماهي الطرق المستعملة في الهندسة الاجتماعية النفسية ؟,استخدام أساليب التلاعب النفسي عن طريق - الهاتف - صفحات الانترنت-   البريد الالكتروني وجها لوجه.
270,567,22,2.8,"التلاعب النفسي و العاطفي، الرسائل الاغرائية",0.5,1,1,1,0.75,1,0,1,8,2,ماهي الطرق المستعملة في الهندسة الاجتماعية النفسية ؟,استخدام أساليب التلاعب النفسي عن طريق - الهاتف - صفحات الانترنت-   البريد الالكتروني وجها لوجه.
273,570,25,2.8,"الهاتف، البريد الالكتروني، وجها لوجه، مواقع الانترنت",5,5,5,5,5,5,5,5,8,2,ماهي الطرق المستعملة في الهندسة الاجتماعية النفسية ؟,استخدام أساليب التلاعب النفسي عن طريق - الهاتف - صفحات الانترنت-   البريد الالكتروني وجها لوجه.
276,573,28,2.8,"رسائل الاغراء، الكذب ولا يتم استعمال البرمجيات",2.5,3,2,2,2.25,2,2,3,8,2,ماهي الطرق المستعملة في الهندسة الاجتماعية النفسية ؟,استخدام أساليب التلاعب النفسي عن طريق - الهاتف - صفحات الانترنت-   البريد الالكتروني وجها لوجه.
308,605,14,2.9,"تغير الوجه ، سرقة معلومات و كلمات المرور ، تسبب في خسارة أموال و سمعة الموقع .",2,2,3,3,2.5,2,2,3,9,2,ماهي الجرائم المترتبة عن عملية إختراق لموقع  على الشبكة؟,"تغيير أو سرقة أو  إزالة المعلومات التي يطالها المخترق، تخريب وتعطيل الأجهزة، تغيير وجه المواقع ، تبطئة حركة التصفح وانقطاعها على فترات."
313,610,19,2.9,"تغيير البيانات و إتلافها و حذفها ، تغيير وجه الموقع و السيطرة عليه .",2.5,3,3.5,4,3,3,3,3,9,2,ماهي الجرائم المترتبة عن عملية إختراق لموقع  على الشبكة؟,"تغيير أو سرقة أو  إزالة المعلومات التي يطالها المخترق، تخريب وتعطيل الأجهزة، تغيير وجه المواقع ، تبطئة حركة التصفح وانقطاعها على فترات."
315,612,21,2.9,"سرقة ، تغيير أو إزالة المعلومات، تغير وجه الموقع .",2.5,3,3,3,2.75,3,2,3,9,2,ماهي الجرائم المترتبة عن عملية إختراق لموقع  على الشبكة؟,"تغيير أو سرقة أو  إزالة المعلومات التي يطالها المخترق، تخريب وتعطيل الأجهزة، تغيير وجه المواقع ، تبطئة حركة التصفح وانقطاعها على فترات."
330,627,36,2.9,"تبطيء حركة التصفح في فترات منتظمة، تعذر الدخول لبيانات المستخدمين، سرقة و تغيير وإتلاف المعلومات  السرية ، تغيير وجه الموقع، تخريب الموقع.",3.75,4,5,5,4.375,4,4,5,9,2,ماهي الجرائم المترتبة عن عملية إختراق لموقع  على الشبكة؟,"تغيير أو سرقة أو  إزالة المعلومات التي يطالها المخترق، تخريب وتعطيل الأجهزة، تغيير وجه المواقع ، تبطئة حركة التصفح وانقطاعها على فترات."
339,636,45,2.9,"ربط جهاز الضحية بالمحترف وامكانية التحكم في الجهاز، امكانية تغيير الواجهة او تصميم الموقع ، التجسس و انتهاك الخصوصية، سرقة المعلومات و امكانية تغييرها او اتلافها و حوها، امكانية التشهير او الابتزازات الكشف و النهب",3,3,5,5,4,4,4,4,9,2,ماهي الجرائم المترتبة عن عملية إختراق لموقع  على الشبكة؟,"تغيير أو سرقة أو  إزالة المعلومات التي يطالها المخترق، تخريب وتعطيل الأجهزة، تغيير وجه المواقع ، تبطئة حركة التصفح وانقطاعها على فترات."
343,640,49,2.9,"تغيير محتوى الموقع، تستعمل الموقع للوصول الى مواقع أخرى محجوبة، جريمة اختراق. ",1,1,3,3,2,2,2,2,9,2,ماهي الجرائم المترتبة عن عملية إختراق لموقع  على الشبكة؟,"تغيير أو سرقة أو  إزالة المعلومات التي يطالها المخترق، تخريب وتعطيل الأجهزة، تغيير وجه المواقع ، تبطئة حركة التصفح وانقطاعها على فترات."
345,642,51,2.9,"تغيير وجه الموقع سرقة معلومات خاصة، سرقة الهوية أو البريد الالكتروني،  انشاء موقع احتيال على شخصيات. ",3.75,4,4,4,3.875,4,3,4,9,2,ماهي الجرائم المترتبة عن عملية إختراق لموقع  على الشبكة؟,"تغيير أو سرقة أو  إزالة المعلومات التي يطالها المخترق، تخريب وتعطيل الأجهزة، تغيير وجه المواقع ، تبطئة حركة التصفح وانقطاعها على فترات."
366,663,21,2.1,معرفة الكلمات والحروف المستعملة على تلك لوحة المفاتيح وهذا للحد من الاختراق,0.5,1,0,0,0.25,0,0,1,10,2,ماهي وظيفة برنامج راصد لوحة المفاتيح؟,تسجيل جميع ضغطات المفاتيح  وبالتالي كل كلمات المرور المدخلة على الكمبيوتر و أرقام البطاقات الائتمانية لغرض السرقة كما يستعمل أيضا لإثبات الهوية كقياس حيوي سلوكي .
372,669,27,2.1,يعمل هذا البرنامج على تسجيل كل ما يترصده لوحة المفاتيح ,1.5,2,2,2,1.75,2,1,2,10,2,ماهي وظيفة برنامج راصد لوحة المفاتيح؟,تسجيل جميع ضغطات المفاتيح  وبالتالي كل كلمات المرور المدخلة على الكمبيوتر و أرقام البطاقات الائتمانية لغرض السرقة كما يستعمل أيضا لإثبات الهوية كقياس حيوي سلوكي .
