Column2,Column1,Answer_ID,QID,Answer_Arabic,Mark1,Mark1_ceil,Mark2,Mark2_ceil,Average_Mark,Median,mark_floor,mark_ceil,Question_ID,Question_Type,Question_Arabic,Model_Arabic
20,1456,21,4.1,"لأن لا توجد وسائل تقنية لتعديل هذا الضعف و الحل الوحيد هو التوعية، لكن يبقى هناك مشكل من هذه الناحية .",1,1,1,1,1,1,1,1,1,4,علّل لماذا يشكل الإنسان الحلقة الضعيفة في سلسلة الأمن المعلوماتي؟,"يثق الإنسان بالآخرين فيسهل خداعه عن طريق الهندسة الاجتماعية النفسية بحيث يمكن اختراق الأمن بسبل غير تقنية ، لا توجد تقنية تمنع خداع الإنسان، اختراق الإنسان أسهل من اختراق الأجهزة خاصة في ضوء قلة التوعية."
21,1457,22,4.1,لأنه سهل للإختراق و يمكن التلاعب به عن طريق الهندسة الاجتماعية .,3,3,3.5,4,3.25,3,3,4,1,4,علّل لماذا يشكل الإنسان الحلقة الضعيفة في سلسلة الأمن المعلوماتي؟,"يثق الإنسان بالآخرين فيسهل خداعه عن طريق الهندسة الاجتماعية النفسية بحيث يمكن اختراق الأمن بسبل غير تقنية ، لا توجد تقنية تمنع خداع الإنسان، اختراق الإنسان أسهل من اختراق الأجهزة خاصة في ضوء قلة التوعية."
48,1484,1,4.2,"انتشار برامج ووسائل متطورة للإختراق، زيادة عدد المحترفين ومنه زيادة عدد الثغرات ومنه زيادة فرص الاجرام، عدم تطبيق القانون، سرعة انتشار التقنية المعلوماتية.",4,4,4,4,4,4,4,4,2,4,علّل تزايد فرص الإجرام الإلكتروني عبر العالم؟,تزايد عدد المخترقين ويقابلها زيادة عدد الثغرات الأمنية للأجهزة والبرامج يوفر فرصاً للإجرام الإلكتروني بالإضافة إلى تطور برامج الاختراق وسهولة استعمالها
50,1486,3,4.2,"تطور برامج الاختراق وسهولة استعمالها، نقص تشريعات وقوانين معاقبة الاجرام، تكتم الضحايا، تطوير البرامج الضخمة ما يؤدي الى زيادة عدد الثغرات التي تتناسب طرديا مع الاختراق، ضعف أمن المعلومات.",3.5,4,5,5,4.25,4,4,5,2,4,علّل تزايد فرص الإجرام الإلكتروني عبر العالم؟,تزايد عدد المخترقين ويقابلها زيادة عدد الثغرات الأمنية للأجهزة والبرامج يوفر فرصاً للإجرام الإلكتروني بالإضافة إلى تطور برامج الاختراق وسهولة استعمالها
54,1490,7,4.2,"تطور الأنظمة و التطبيقات، الخدمات الإلكترونية مل التسويق الالكتروني، استعمال البنوك الالكترونية للقيام بتحويلات مالية. ",3,3,2.5,3,2.75,3,2,3,2,4,علّل تزايد فرص الإجرام الإلكتروني عبر العالم؟,تزايد عدد المخترقين ويقابلها زيادة عدد الثغرات الأمنية للأجهزة والبرامج يوفر فرصاً للإجرام الإلكتروني بالإضافة إلى تطور برامج الاختراق وسهولة استعمالها
58,1494,11,4.2,"لان الجريمة لا تترك اثرا، تطور العلم و البرمجيات، القدرة الفنية الهائلة للمخترقين، تحتاج الى ذكاء عالي و لا يستطيع الشخص التقليدي ان يخترق، عدم و جود دعم مادي للحد من الاجرام.",3,3,2.5,3,2.75,3,2,3,2,4,علّل تزايد فرص الإجرام الإلكتروني عبر العالم؟,تزايد عدد المخترقين ويقابلها زيادة عدد الثغرات الأمنية للأجهزة والبرامج يوفر فرصاً للإجرام الإلكتروني بالإضافة إلى تطور برامج الاختراق وسهولة استعمالها
71,1507,24,4.2,"انتشار الانترنت، تطور التكنولوجيا، ظهور الهواتف الذكية و الحاسوب الشخصي",2.5,3,2.5,3,2.5,3,2,3,2,4,علّل تزايد فرص الإجرام الإلكتروني عبر العالم؟,تزايد عدد المخترقين ويقابلها زيادة عدد الثغرات الأمنية للأجهزة والبرامج يوفر فرصاً للإجرام الإلكتروني بالإضافة إلى تطور برامج الاختراق وسهولة استعمالها
87,1523,40,4.2,"الذكاء الخارق للمخترقين، لا يترك  اثر من الصعب تحديد مكان المخترقين تطور وسائل الاختراق و زيادة عدد المتكتمين و نقص القوانين، نقص الدعم المالي، سرعة الهجمات و عدد الثغرات في الانظمة ",2,2,2.5,3,2.25,2,2,3,2,4,علّل تزايد فرص الإجرام الإلكتروني عبر العالم؟,تزايد عدد المخترقين ويقابلها زيادة عدد الثغرات الأمنية للأجهزة والبرامج يوفر فرصاً للإجرام الإلكتروني بالإضافة إلى تطور برامج الاختراق وسهولة استعمالها
99,1535,52,4.2,"الاستخدام المتزايد للأنترنيت و الحاسب عالميا، تكاثر عدد المخترقين مما يزيد من عدد الثغرات، صعوبة الوصول الى المجرمين",3.5,4,3.5,4,3.5,4,3,4,2,4,علّل تزايد فرص الإجرام الإلكتروني عبر العالم؟,تزايد عدد المخترقين ويقابلها زيادة عدد الثغرات الأمنية للأجهزة والبرامج يوفر فرصاً للإجرام الإلكتروني بالإضافة إلى تطور برامج الاختراق وسهولة استعمالها
102,1538,3,4.3,هناك تناسب طردي فكلما كانت البرامج ضخمة ازدادت عدد الثغرات الموجودة فيها فالجانب البشري هو من يقوم بعمل هذه البرامج وهم معرض دائما للقيام بالأخطاء.,3.5,4,4,4,3.75,4,3,4,3,4,علّل كيف يكون تطوير البرامج الضخمة تحديا صعبا في مجال الأمن المعلوماتي ؟ ,إن تطوير البرامج الضخمة ينتج عنه ثغرات أمنية أكثر وصعوبات في التحكم فيها خاصة مع تزايد عدد المخترقين وسرعة الهجمات )كلما كبر البرنامج كلما كبرت الثغرات الأمنية(
106,1542,7,4.3,"كلما كان البرنامج ضخمة كلما زادت ثغرات فيه؛ وبالتالي يستخدم المخترقون هذه الثغرات لكسر الحاجز لأمني، البرامج الضخمة تتناسب طردا مع الثغرات وبالتالي الاختراق.",4.5,5,4.5,5,4.5,5,4,5,3,4,علّل كيف يكون تطوير البرامج الضخمة تحديا صعبا في مجال الأمن المعلوماتي ؟ ,إن تطوير البرامج الضخمة ينتج عنه ثغرات أمنية أكثر وصعوبات في التحكم فيها خاصة مع تزايد عدد المخترقين وسرعة الهجمات )كلما كبر البرنامج كلما كبرت الثغرات الأمنية(
121,1557,22,4.3,"كلما كان البرنامج ضخم ,كانت ثغراته ضخمة مما يؤدي إلى جلب نظر كثير من المجرمين ",4,4,4,4,4,4,4,4,3,4,علّل كيف يكون تطوير البرامج الضخمة تحديا صعبا في مجال الأمن المعلوماتي ؟ ,إن تطوير البرامج الضخمة ينتج عنه ثغرات أمنية أكثر وصعوبات في التحكم فيها خاصة مع تزايد عدد المخترقين وسرعة الهجمات )كلما كبر البرنامج كلما كبرت الثغرات الأمنية(
130,1566,31,4.3,لأن البرامج الضخمة تكون و جهة للعديد من المستخدمين و بالتالي اختراقها يكون انجاز لصاحبها مما يجعلها تحديا للمخترقين,3,3,3,3,3,3,3,3,3,4,علّل كيف يكون تطوير البرامج الضخمة تحديا صعبا في مجال الأمن المعلوماتي ؟ ,إن تطوير البرامج الضخمة ينتج عنه ثغرات أمنية أكثر وصعوبات في التحكم فيها خاصة مع تزايد عدد المخترقين وسرعة الهجمات )كلما كبر البرنامج كلما كبرت الثغرات الأمنية(
149,1585,1,4.4,لأن العائدات المالية منه لا تظهر الا بعد فوات الاوان,4,4,4,4,4,4,4,4,4,4,علّل لماذا لا تفكر المؤسسات غالبا في دعم سياسة الأمن في وقت مبكر من تصميم وتطوير النظام المعلوماتي ؟,لأن العائد المادي لسياسة الأمن المبكر غير منظور مسبقا في غياب ثقافة الأمن
