label,text
1,عرف مصطلح الجريمة الإلكترونية 
1,عرف مصطلح أمن المعلومات
1,عرف مصطلح الهندسة الاجتماعية النفسية
1,عرف مصطلح تبييض أو غسيل الأموال 
2,ما هي الأصناف الرئيسية للبرمجيات الماكرة
2,"  ماهي أشكال المضايقات التي يمكن أن يتعرض لها مستخدم وسائل التواصل الاجتماعي(فايسبوك، ...) ؟"
2,ما نوع الجريمة الإلكترونية التي قد تكون أنت  ضحيتها عبر بريد إلكتروني يخبرك بأن شخصا يريد أن يتقاسم معك جوائز أو أموالا؟
2,ماهي الأسس التي يجب إتباعها للحد من انتشار الجريمة الإلكترونية؟
3,ماهي النتائج المترتبة عن  إصابة  النظام المعلوماتي بحصان طروادة ؟  
3,ما هي النتائج المترتبة على استعمال تقنيات القياس الحيوي في الدخول إلى النظام المعلوماتي؟
3,ما النتائج المترتبة عن تطبيق سياسة أمن المعلومات في النظام المعلوماتي ؟
3,ما النتائج المترتبة على تطبيق اختبار الاختراق من طرف الهاكر؟
4,علّل لماذا يشكل الإنسان الحلقة الضعيفة في سلسلة الأمن المعلوماتي؟
4,علّل تزايد فرص الإجرام الإلكتروني عبر العالم؟
4,علّل كيف يكون تطوير البرامج الضخمة تحديا صعبا في مجال الأمن المعلوماتي ؟ 
4,علّل لماذا لا تفكر المؤسسات غالبا في دعم سياسة الأمن في وقت مبكر من تصميم وتطوير النظام المعلوماتي ؟
5,ما الفرق بين عمل قراصنة القبعات البيضاء و عمل قراصنة القبعات السوداء؟
5,ما الفرق بين عمل قراصنة القبعات  الرمادية و عمل قراصنة القبعات السوداء؟
5,ما الفرق بين الدود والفيروسات؟
5,ما الفرق بين القرصنة واختبار الاختراق؟
