Column2,Column1,Answer_ID,QID,Answer_Arabic,Mark1,Mark1_ceil,Mark2,Mark2_ceil,Average_Mark,Median,mark_floor,mark_ceil,Question_ID,Question_Type,Question_Arabic,Model_Arabic
63,63,17,1.2,"هو حماية وتامين المعلومات من التخريب( سرقة، تغيير)، نظام المعلومات حيث كل منشأة تقوم بحماية نفسها وحماية الموظفين العاملين عليها وحماية الأجهزة والحاسبات الآلية وحماية البيانات المخزنة فيها في كل الأوساط من المخترقين وأي وسيلة تخريب في مختلف مراحل المعلومة ( تخزين نقل معالجة).",5,5,4.5,5,4.75,5,4,5,2,1,عرف مصطلح أمن المعلومات,حماية وتأمين كافة الموارد المستخدمة في معالجة المعلومات من منشآت نفسها والأفراد العاملين فيها وأجهزة الحاسب المستخدمة فيها ووسائط المعلومات التي تحتوي على البيانات    وذلك في جميع مراحل تواجد المعلومة (التخزين – النقل – المعالجة)
77,77,31,1.2,"هو تامين و حماية كافة الموارد المستخدمة في معالجة المعلومات حيث ان المنشاة تؤمن نفسها و كذا الافراد العاملين عليها و اجهزة الحاسوب و الوسطيات التي تحتوي على البيانات وهذا في جميع مراحل تواجد المعلومة) النقل التخزين المعالجة(، اكاديميا العلم الذي يهتم بنظريات لتوفير الحماية للمعلومات ، فنيا هو مختلف الادوات و الوسائل التقنية المستعملة كحماية المعلومات من الاخطار، قانونيا هي مختلف التدابير التشريعات لضمان امن سرية وسلامة المعلومة توفرها و مكافحة اشكال الاجرام عليها ",5,5,5,5,5,5,5,5,2,1,عرف مصطلح أمن المعلومات,حماية وتأمين كافة الموارد المستخدمة في معالجة المعلومات من منشآت نفسها والأفراد العاملين فيها وأجهزة الحاسب المستخدمة فيها ووسائط المعلومات التي تحتوي على البيانات    وذلك في جميع مراحل تواجد المعلومة (التخزين – النقل – المعالجة)
78,78,32,1.2,هو تامين و حماية كافة الموارد المستخدمة في معالجة المعلومات حيث يتم تامين المنشاة و الاشخاص العاملين فيها و الاجهزة المستخدمة و البيانات من الناحية الاكاديمية هي النظريات و الاستراتيجيات لحماية المعلومات ومن الناحية التقنية هي الادوات و الوسائل و الاجراءات اللازمة اجرائها ومن الناحية القانونية هي التدابير و التصريحات لضمان سرية المعلومات و مكافحة الاعتداء عليها ,4,4,4.5,5,4.25,4,4,5,2,1,عرف مصطلح أمن المعلومات,حماية وتأمين كافة الموارد المستخدمة في معالجة المعلومات من منشآت نفسها والأفراد العاملين فيها وأجهزة الحاسب المستخدمة فيها ووسائط المعلومات التي تحتوي على البيانات    وذلك في جميع مراحل تواجد المعلومة (التخزين – النقل – المعالجة)
92,92,46,1.2,هو توفير الحماية اللازمة للمعلومات و البيانات الخاصة من مخاطر و التهديدات الامنية للمعلومات عن طريق تحصين المنشأ و الموظفين و الأجهزة المستخدمة و وسائل معالجة المعلومات(استقبال-تخزين-نشر),4,4,4,4,4,4,4,4,2,1,عرف مصطلح أمن المعلومات,حماية وتأمين كافة الموارد المستخدمة في معالجة المعلومات من منشآت نفسها والأفراد العاملين فيها وأجهزة الحاسب المستخدمة فيها ووسائط المعلومات التي تحتوي على البيانات    وذلك في جميع مراحل تواجد المعلومة (التخزين – النقل – المعالجة)
60,60,14,1.2,هو السبيل والطرق المنهجية لضمان سلامة الأجهزة والمعلومات اثناء العمل بها وكذلك الاليات المتبعة لضمان امنها وامن الافراد المتعلقين بها  ,2,2,3.5,4,2.75,3,2,3,2,1,عرف مصطلح أمن المعلومات,حماية وتأمين كافة الموارد المستخدمة في معالجة المعلومات من منشآت نفسها والأفراد العاملين فيها وأجهزة الحاسب المستخدمة فيها ووسائط المعلومات التي تحتوي على البيانات    وذلك في جميع مراحل تواجد المعلومة (التخزين – النقل – المعالجة)
82,82,36,1.2,هي الاستراتيجية و التطبيقات البرمجية للحفاظ على الخصوصية )كلمة السر(و على عدم التعدي على القوانين ,1.5,2,1.5,2,1.5,2,1,2,2,1,عرف مصطلح أمن المعلومات,حماية وتأمين كافة الموارد المستخدمة في معالجة المعلومات من منشآت نفسها والأفراد العاملين فيها وأجهزة الحاسب المستخدمة فيها ووسائط المعلومات التي تحتوي على البيانات    وذلك في جميع مراحل تواجد المعلومة (التخزين – النقل – المعالجة)
75,75,29,1.2,هي الاساليب و الطرق المستخدمة في الدفاع عن المعلومات الخاصة بالمستخدمين او الشركات ,0.5,1,1,1,0.75,1,0,1,2,1,عرف مصطلح أمن المعلومات,حماية وتأمين كافة الموارد المستخدمة في معالجة المعلومات من منشآت نفسها والأفراد العاملين فيها وأجهزة الحاسب المستخدمة فيها ووسائط المعلومات التي تحتوي على البيانات    وذلك في جميع مراحل تواجد المعلومة (التخزين – النقل – المعالجة)
84,84,38,1.2,هي تاميم و حماية الموارد المستخدمة في معالجة المعلومات فيجب على المنشاة تامين نفسها و تامين الأجهزة المستخدمة و وسائط و المعلومات التي تحتوي على بيانات تخصها في مختلف مراحل تواجد المعلومة (تخزين – نقل – معالجة(,5,5,5,5,5,5,5,5,2,1,عرف مصطلح أمن المعلومات,حماية وتأمين كافة الموارد المستخدمة في معالجة المعلومات من منشآت نفسها والأفراد العاملين فيها وأجهزة الحاسب المستخدمة فيها ووسائط المعلومات التي تحتوي على البيانات    وذلك في جميع مراحل تواجد المعلومة (التخزين – النقل – المعالجة)
90,90,44,1.2,هو حماية و تامين كافة الموارد المستخدمة ف معالجة المعلومات حيث تأمن المنشاة وتأمن الأفراد العاملين فيها و اجهزة الحاسب المستخدمة فيها و وسائط المعلومات الت تحتوي عل بيانات المنشاة و ذلك ف جميع مراحل تواجد المعلومات ) الخزين- النقل- المعالجة(,5,5,5,5,5,5,5,5,2,1,عرف مصطلح أمن المعلومات,حماية وتأمين كافة الموارد المستخدمة في معالجة المعلومات من منشآت نفسها والأفراد العاملين فيها وأجهزة الحاسب المستخدمة فيها ووسائط المعلومات التي تحتوي على البيانات    وذلك في جميع مراحل تواجد المعلومة (التخزين – النقل – المعالجة)
73,73,27,1.2,هو تأمين وحماية كافة الموارد المستخدمة في معالجة المعلومة في كل مراحل معالجتها (التخزين والنقل و المعالجة),5,5,5,5,5,5,5,5,2,1,عرف مصطلح أمن المعلومات,حماية وتأمين كافة الموارد المستخدمة في معالجة المعلومات من منشآت نفسها والأفراد العاملين فيها وأجهزة الحاسب المستخدمة فيها ووسائط المعلومات التي تحتوي على البيانات    وذلك في جميع مراحل تواجد المعلومة (التخزين – النقل – المعالجة)
